Handle,Name,Followers,Score,Tier,Status,Partnership Level,Personalization Hook,Notes
@trading_axe,Trading Axe,155209,98,S,Researched,None,CT is an MMORPG tweet - perfect pitch alignment,S-TIER: DM first. Dream lead.
@CirrusNFT,Cirrus,103444,95,S,Researched,None,Asked for tokenized fantasy sports meta,S-TIER: Literally asked for this product.
@icobeast,Icobeast,68258,95,S,Researched,None,Already plays fantasy leagues,S-TIER: Fantasy player + Kalshi background.
@DelCrxpto,Del,89966,92,A,Researched,None,Playing crypto characters tweet,A-TIER: CT culture native.
@FFVV1211,FFVV,69535,90,A,Researched,None,Bio says I luv gaming + CT larp,A-TIER: Gamer. Would play for fun.
@hodl_strong,Hodl Strong,37800,90,A,Researched,None,Mentioned fantasy game on Base,A-TIER: Called out exact concept.
@ilodiwow,Ilodi,92303,88,A,Researched,None,CT KOL drama commentary,A-TIER: Drama commentator.
@j0hnwang,John Wang,60443,85,A,Researched,None,Next wave is prediction markets,A-TIER: Kalshi crypto lead.
@buyerofponzi,Buyer of Ponzi,68578,85,A,Researched,None,Prediction markets alpha tweet,A-TIER: Value investor.
@jonwu_,Jon Wu,98378,90,A,Researched,Tier 3 (Advisor),Helps founders with storytelling,ADVISOR: FortyIQ. Growth narrative.
@0xSeanTao,Sean Tao,77463,88,A,Researched,Tier 3 (Advisor),AI copilot builder at Edgen,ADVISOR: Deep product experience.
@haonan,Haonan,32240,85,A,Researched,Tier 3 (Advisor),Codex CEO. L2 expert.,ADVISOR: Optimism background.
@LexaproTrader,Lexapro Trader,95826,82,B,Researched,None,Retired gambler seeking edges,B-TIER: Competitive gambler.
@HerroCrypto,Herro,113612,80,B,Researched,None,Sports betting on Base tweet,B-TIER: Base ecosystem fan.
@hannahhughes,Hannah Hughes,28731,80,B,Researched,None,Fantasy sports + Polymarket tweet,B-TIER: Growth marketer.
@palis,Palis,37432,80,B,Researched,None,Gaming + tokenomics in bio,B-TIER: Gaming background.
@BR4ted,BR4ted,49827,78,B,Researched,None,Prediction markets learning tweet,B-TIER: Marketing advisor.
@CryptoEights,Crypto Eights,60505,75,B,Researched,None,Sports predictions tweet,B-TIER: Podcast host.
@minseokk1m,Min Seok Kim,39073,82,B,Researched,None,Base East Asia lead,B-TIER: Direct Base connection.
@jvmi_,Jvmi,37355,78,B,Researched,None,Creative coder on Base,B-TIER: Art with code.
@arrotu,Arrotu,77828,75,B,Researched,None,NexArt founder on-chain,B-TIER: On-chain enforcement.
@free_electron0,Free Electron,72200,75,B,Researched,None,PVE play tweet,B-TIER: Game mindset.
@blknoiz06,Ansem,580000,100,S,Researched,None,Flag football league + LoL Discord - plays fantasy,IN-GAME S-TIER: #1 priority. Promotes games (Luckio). Perfect fit.
@CryptoCred,Cred,732000,95,S,Researched,None,DJ Moore fantasy league tweet - already plays fantasy,IN-GAME S-TIER: #2 priority. Fantasy football player.
@cobie,Cobie,560000,85,S,Researched,None,Homeless look at CB event - self-deprecating humor,IN-GAME S-TIER: CT legend. Gaming chair refs.
@CryptoHayes,Arthur Hayes,380000,80,S,Researched,None,Makes public bets on BTC price,IN-GAME S-TIER: BitMEX founder. Betting angle.
@inversebrah,InverseBrah,379000,80,S,Researched,None,Start bagworkin tweet - meme energy,IN-GAME S-TIER: Meme lord. Open to sponsors.
@DegenSpartan,DegenSpartan,520000,60,S,Researched,None,Boss at end of tutorial mode - gaming ref,IN-GAME S-TIER: Lower priority. No fantasy interest found.
@GCRClassic,GCR,263000,50,S,Researched,None,Philosophical quotes only,IN-GAME S-TIER: Skip for now. Low engagement style.
