Handle,Name,Followers,In-Game Tier,Partnership Priority,Status,Personalization Hook,Notes
@blknoiz06,Ansem,580000,S,HIGH,To Contact,"Flag football league + LoL Discord - plays fantasy","IN-GAME S-TIER: #1 priority. Promotes games (Luckio). Perfect fit."
@CryptoCred,Cred,732000,S,HIGH,To Contact,"DJ Moore fantasy league tweet - already plays fantasy","IN-GAME S-TIER: #2 priority. Fantasy football player."
@cobie,Cobie,560000,S,MEDIUM,To Contact,"Homeless look at CB event - self-deprecating humor","IN-GAME S-TIER: CT legend. Gaming chair refs."
@CryptoHayes,Arthur Hayes,380000,S,MEDIUM,To Contact,"Makes public bets on BTC price","IN-GAME S-TIER: BitMEX founder. Betting angle."
@inversebrah,InverseBrah,379000,S,MEDIUM,To Contact,"Start bagworkin tweet - meme energy","IN-GAME S-TIER: Meme lord. Open to sponsors."
@DegenSpartan,DegenSpartan,520000,S,LOW,Researched,"Boss at end of tutorial mode - gaming ref","IN-GAME S-TIER: Lower priority. No fantasy interest found."
@GCRClassic,GCR,263000,S,SKIP,Researched,"Philosophical quotes only","IN-GAME S-TIER: Skip. Low engagement style."
@cz_binance,CZ,10600000,A,HIGH,To Contact,"Supports Kalshi/Polymarket heavily - prediction market fan","IN-GAME A-TIER: Top priority. Offer custom league or ETH prize boost."
@CryptoWendyO,Crypto Wendy O,460000,A,HIGH,To Contact,"Fun posts energy - engaged community","IN-GAME A-TIER: Perfect audience match. Loves meta."
@thedefiedge,The DeFi Edge,305000,A,HIGH,To Contact,"DMs open for deals - systems thinker","IN-GAME A-TIER: Easy to pitch paid or affiliate."
@CryptoKaleo,Kaleo,728000,A,HIGH,To Contact,"Active trader - co-founder of NFT project","IN-GAME A-TIER: Trader energy. Enjoys competitions."
@DefiIgnas,DeFi Ignas,158000,A,HIGH,To Contact,"Open to collabs - creator studio co-founder","IN-GAME A-TIER: Lower followers but high conversion potential."
@AltcoinPsycho,Altcoin Psycho,521000,A,MEDIUM,Researched,"Cynical trader - chef at a project","IN-GAME A-TIER: Trader energy. Could enjoy competition angle."
@IvanOnTech,Ivan on Tech,493000,A,MEDIUM,Researched,"Educator - community for profitable trades","IN-GAME A-TIER: Might cross-promote if framed as educational."
@CryptosRUs,George,300000,A,MEDIUM,Researched,"Daily news/charts - gaming mentions","IN-GAME A-TIER: Active content creator. Open to promotions."
@WhalePanda,WhalePanda,302000,A,MEDIUM,Researched,"CT OG - sarcastic/no-nonsense","IN-GAME A-TIER: OG vibe. Might enjoy irony."
@sassal0x,sassal,296000,A,MEDIUM,Researched,"Ethereum educator - Bankless/Daily Gwei","IN-GAME A-TIER: ETH aligned (Base is L2 - bonus)."
@ThinkingUSD,ThinkingCrypto,275000,A,MEDIUM,Researched,"Bitcoin OG - CEO of trading firm","IN-GAME A-TIER: Consistent trader background."
@saylor,Michael Saylor,4800000,A,SKIP,Researched,"Pure Bitcoin maximalist - corporate","IN-GAME A-TIER: Skip. Too serious. No fun/meme content."
@100trillionUSD,PlanB,2200000,A,SKIP,Researched,"Stock-to-flow charts - analytical","IN-GAME A-TIER: Skip. Educational only."
@woonomic,Willy Woo,1200000,A,SKIP,Researched,"On-chain analyst - warns against scams","IN-GAME A-TIER: Skip. Analytical. No gaming."
@RaoulGMI,Raoul Pal,1300000,A,SKIP,Researched,"Macro/Real Vision - professional","IN-GAME A-TIER: Low priority. Sophisticated brand."
@balajis,Balaji Srinivasan,1200000,A,SKIP,Researched,"Network State author - intellectual","IN-GAME A-TIER: Skip. Too philosophical."
@intocryptoverse,Benjamin Cowen,1100000,A,SKIP,Researched,"Technical analysis - YouTube educator","IN-GAME A-TIER: Skip. Pure education/charts."
